Nome;Imagem;Caminho Padrão;Categoria;nome;tipo;@Imagem
Parafuso Francês;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_frances;jpeg;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_frances.jpeg
Parafuso Sextavado;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado;jpeg;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado.jpeg
Parafuso Sextavado Interno (Cabeça Cilíndrica);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_interno_-cabeca_cilindrica-;jpeg;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_interno_-cabeca_cilindrica-.jpeg
Parafuso Sextavado Interno (Cabeça Chata);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_interno_-cabeca_chata-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_interno_-cabeca_chata-.png
Parafuso Sextavado Interno (Cabeça Abaulada);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_interno_-cabeca_abaulada-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_interno_-cabeca_abaulada-.png
Parafuso Sextavado Interno (Sem Cabeça);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_interno_-sem_cabeca-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_interno_-sem_cabeca-.png
Bujão de Pressão;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;bujao_de_pressao;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\bujao_de_pressao.png
Parafuso Sextavado Interno (Cabeça Cilíndrica Baixa);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_interno_-cabeca_cilindrica_baixa-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_interno_-cabeca_cilindrica_baixa-.png
Parafuso Sextavado Interno (Corpo Retificado);;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_sextavado_interno_-corpo_retificado-;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_sextavado_interno_-corpo_retificado-.png
Parafuso ASTM A325;;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos;Parafusos;parafuso_astm_a325;png;C:\Users\Marco\Desktop\projetos\razemfix-wireframe\razemfix-wireframe\public\produtos\parafuso_astm_a325.png
